Vin_A,Vin_B,Vin_C,TEMP,pvdd,Lmin,Wmin,toxe_n,toxm_n,toxref_n,toxp_n,xj_n,ndep_n,toxe_p,toxm_p,toxref_p,toxp_p,xj_p,ndep_p,Leakage_power
0.0,0.0,0.0,46.31943036830701,0.8830862238470054,3.480182992834759e-08,2.433259195160172e-07,7.33086213805235e-10,7.408637437438742e-10,7.455350082106661e-10,4.759327056768043e-10,1.0290198696265674e-08,8.938678865110148e+18,7.67572497880995e-10,7.728740155530384e-10,7.774983367139629e-10,4.529224678045961e-10,9.969495391000628e-09,3.616771520973497e+18,4.564473049496786e-07
0.0,0.0,1.0,46.31943036830701,0.8830862238470054,3.480182992834759e-08,2.433259195160172e-07,7.33086213805235e-10,7.408637437438742e-10,7.455350082106661e-10,4.759327056768043e-10,1.0290198696265674e-08,8.938678865110148e+18,7.67572497880995e-10,7.728740155530384e-10,7.774983367139629e-10,4.529224678045961e-10,9.969495391000628e-09,3.616771520973497e+18,8.6742161694559e-07
0.0,1.0,0.0,46.31943036830701,0.8830862238470054,3.480182992834759e-08,2.433259195160172e-07,7.33086213805235e-10,7.408637437438742e-10,7.455350082106661e-10,4.759327056768043e-10,1.0290198696265674e-08,8.938678865110148e+18,7.67572497880995e-10,7.728740155530384e-10,7.774983367139629e-10,4.529224678045961e-10,9.969495391000628e-09,3.616771520973497e+18,5.580236239282213e-07
0.0,1.0,1.0,46.31943036830701,0.8830862238470054,3.480182992834759e-08,2.433259195160172e-07,7.33086213805235e-10,7.408637437438742e-10,7.455350082106661e-10,4.759327056768043e-10,1.0290198696265674e-08,8.938678865110148e+18,7.67572497880995e-10,7.728740155530384e-10,7.774983367139629e-10,4.529224678045961e-10,9.969495391000628e-09,3.616771520973497e+18,1.789540222420558e-06
1.0,0.0,0.0,46.31943036830701,0.8830862238470054,3.480182992834759e-08,2.433259195160172e-07,7.33086213805235e-10,7.408637437438742e-10,7.455350082106661e-10,4.759327056768043e-10,1.0290198696265674e-08,8.938678865110148e+18,7.67572497880995e-10,7.728740155530384e-10,7.774983367139629e-10,4.529224678045961e-10,9.969495391000628e-09,3.616771520973497e+18,4.893768716419145e-07
1.0,0.0,1.0,46.31943036830701,0.8830862238470054,3.480182992834759e-08,2.433259195160172e-07,7.33086213805235e-10,7.408637437438742e-10,7.455350082106661e-10,4.759327056768043e-10,1.0290198696265674e-08,8.938678865110148e+18,7.67572497880995e-10,7.728740155530384e-10,7.774983367139629e-10,4.529224678045961e-10,9.969495391000628e-09,3.616771520973497e+18,1.1616732081051903e-06
1.0,1.0,0.0,46.31943036830701,0.8830862238470054,3.480182992834759e-08,2.433259195160172e-07,7.33086213805235e-10,7.408637437438742e-10,7.455350082106661e-10,4.759327056768043e-10,1.0290198696265674e-08,8.938678865110148e+18,7.67572497880995e-10,7.728740155530384e-10,7.774983367139629e-10,4.529224678045961e-10,9.969495391000628e-09,3.616771520973497e+18,6.157908260955982e-07
1.0,1.0,1.0,46.31943036830701,0.8830862238470054,3.480182992834759e-08,2.433259195160172e-07,7.33086213805235e-10,7.408637437438742e-10,7.455350082106661e-10,4.759327056768043e-10,1.0290198696265674e-08,8.938678865110148e+18,7.67572497880995e-10,7.728740155530384e-10,7.774983367139629e-10,4.529224678045961e-10,9.969495391000628e-09,3.616771520973497e+18,3.5915801776128453e-06
0.0,0.0,0.0,14.319261619886774,0.930672926868056,3.263839950403337e-08,2.463321712422874e-07,7.535570668310225e-10,7.519502086471353e-10,7.751633515893412e-10,4.634953947986469e-10,9.764681056975414e-09,8.748088632370799e+18,7.465718509087245e-10,7.29997907862509e-10,7.627748630524338e-10,4.851197798561673e-10,9.877952267177009e-09,3.552707936230963e+18,5.497760440490087e-07
0.0,0.0,1.0,14.319261619886774,0.930672926868056,3.263839950403337e-08,2.463321712422874e-07,7.535570668310225e-10,7.519502086471353e-10,7.751633515893412e-10,4.634953947986469e-10,9.764681056975414e-09,8.748088632370799e+18,7.465718509087245e-10,7.29997907862509e-10,7.627748630524338e-10,4.851197798561673e-10,9.877952267177009e-09,3.552707936230963e+18,1.007812214224869e-06
0.0,1.0,0.0,14.319261619886774,0.930672926868056,3.263839950403337e-08,2.463321712422874e-07,7.535570668310225e-10,7.519502086471353e-10,7.751633515893412e-10,4.634953947986469e-10,9.764681056975414e-09,8.748088632370799e+18,7.465718509087245e-10,7.29997907862509e-10,7.627748630524338e-10,4.851197798561673e-10,9.877952267177009e-09,3.552707936230963e+18,6.571237702624956e-07
0.0,1.0,1.0,14.319261619886774,0.930672926868056,3.263839950403337e-08,2.463321712422874e-07,7.535570668310225e-10,7.519502086471353e-10,7.751633515893412e-10,4.634953947986469e-10,9.764681056975414e-09,8.748088632370799e+18,7.465718509087245e-10,7.29997907862509e-10,7.627748630524338e-10,4.851197798561673e-10,9.877952267177009e-09,3.552707936230963e+18,2.025192639826858e-06
