Vin_A,Vin_B,Vin_C,TEMP,pvdd,Lmin,Wmin,toxe_n,toxm_n,toxref_n,toxp_n,xj_n,ndep_n,toxe_p,toxm_p,toxref_p,toxp_p,xj_p,ndep_p,Leakage_power
0.0,0.0,0.0,46.31943036830701,0.9208564176048792,4.944448915105173e-08,2.429191753103476e-07,1.2237775242828604e-09,1.2393459725255635e-09,1.2891351074667611e-09,1.049570630998133e-09,1.4661278850626429e-08,3.31601593633468e+18,1.3263215520831083e-09,1.221232545938741e-09,1.3081668261409214e-09,1.0230375799601107e-09,1.3962163875512708e-08,2.464690692734567e+18,1.951837465761243e-09
0.0,0.0,1.0,46.31943036830701,0.9208564176048792,4.944448915105173e-08,2.429191753103476e-07,1.2237775242828604e-09,1.2393459725255635e-09,1.2891351074667611e-09,1.049570630998133e-09,1.4661278850626429e-08,3.31601593633468e+18,1.3263215520831083e-09,1.221232545938741e-09,1.3081668261409214e-09,1.0230375799601107e-09,1.3962163875512708e-08,2.464690692734567e+18,4.954849458533015e-09
0.0,1.0,0.0,46.31943036830701,0.9208564176048792,4.944448915105173e-08,2.429191753103476e-07,1.2237775242828604e-09,1.2393459725255635e-09,1.2891351074667611e-09,1.049570630998133e-09,1.4661278850626429e-08,3.31601593633468e+18,1.3263215520831083e-09,1.221232545938741e-09,1.3081668261409214e-09,1.0230375799601107e-09,1.3962163875512708e-08,2.464690692734567e+18,4.1706248664590216e-09
0.0,1.0,1.0,46.31943036830701,0.9208564176048792,4.944448915105173e-08,2.429191753103476e-07,1.2237775242828604e-09,1.2393459725255635e-09,1.2891351074667611e-09,1.049570630998133e-09,1.4661278850626429e-08,3.31601593633468e+18,1.3263215520831083e-09,1.221232545938741e-09,1.3081668261409214e-09,1.0230375799601107e-09,1.3962163875512708e-08,2.464690692734567e+18,2.3953568787413083e-08
1.0,0.0,0.0,46.31943036830701,0.9208564176048792,4.944448915105173e-08,2.429191753103476e-07,1.2237775242828604e-09,1.2393459725255635e-09,1.2891351074667611e-09,1.049570630998133e-09,1.4661278850626429e-08,3.31601593633468e+18,1.3263215520831083e-09,1.221232545938741e-09,1.3081668261409214e-09,1.0230375799601107e-09,1.3962163875512708e-08,2.464690692734567e+18,4.487030485197314e-09
1.0,0.0,1.0,46.31943036830701,0.9208564176048792,4.944448915105173e-08,2.429191753103476e-07,1.2237775242828604e-09,1.2393459725255635e-09,1.2891351074667611e-09,1.049570630998133e-09,1.4661278850626429e-08,3.31601593633468e+18,1.3263215520831083e-09,1.221232545938741e-09,1.3081668261409214e-09,1.0230375799601107e-09,1.3962163875512708e-08,2.464690692734567e+18,1.5714858346037936e-08
1.0,1.0,0.0,46.31943036830701,0.9208564176048792,4.944448915105173e-08,2.429191753103476e-07,1.2237775242828604e-09,1.2393459725255635e-09,1.2891351074667611e-09,1.049570630998133e-09,1.4661278850626429e-08,3.31601593633468e+18,1.3263215520831083e-09,1.221232545938741e-09,1.3081668261409214e-09,1.0230375799601107e-09,1.3962163875512708e-08,2.464690692734567e+18,1.4457803235794846e-08
1.0,1.0,1.0,46.31943036830701,0.9208564176048792,4.944448915105173e-08,2.429191753103476e-07,1.2237775242828604e-09,1.2393459725255635e-09,1.2891351074667611e-09,1.049570630998133e-09,1.4661278850626429e-08,3.31601593633468e+18,1.3263215520831083e-09,1.221232545938741e-09,1.3081668261409214e-09,1.0230375799601107e-09,1.3962163875512708e-08,2.464690692734567e+18,1.2005683388733113e-07
0.0,0.0,0.0,14.319261619886774,1.0818932309610494,4.804966124317526e-08,2.5617230828135804e-07,1.181889164381709e-09,1.2580978820898171e-09,1.251744592814224e-09,9.70309194151141e-10,1.3178166679199456e-08,3.047291549123158e+18,1.2598594605565436e-09,1.249664201897556e-09,1.2408698328793648e-09,1.0212275532947808e-09,1.4421670186558081e-08,2.5140090656730803e+18,2.077944861793375e-09
0.0,0.0,1.0,14.319261619886774,1.0818932309610494,4.804966124317526e-08,2.5617230828135804e-07,1.181889164381709e-09,1.2580978820898171e-09,1.251744592814224e-09,9.70309194151141e-10,1.3178166679199456e-08,3.047291549123158e+18,1.2598594605565436e-09,1.249664201897556e-09,1.2408698328793648e-09,1.0212275532947808e-09,1.4421670186558081e-08,2.5140090656730803e+18,4.078049295098052e-09
